ProbeID	Name	Control_1	Control_2	Control_3	Grp78KO_1	Grp78KO_2	Grp78KO_3
1110035H17Rik	1110035H17RIK	0.61703837	0.5040604	0.64266056	0.57687277	0.38488016	0.4342814
1110036E04Rik	1110036E04RIK	0.33922243	0.34688878	0.40988654	0.3461713	0.23254092	0.519892
1110038B12Rik	1110038B12RIK	1.3076435	1.2851	1.1923491	3.381029	3.4172127	2.7897282
1110038F14Rik	1110038F14RIK	2.798201	2.7347615	2.8281813	2.9508564	2.9052556	2.8011332
1110046J04Rik	1110046J04RIK	0.52223575	0.45436493	0.5042001	0.619774	0.5947012	0.5624123
1110051M20Rik	1110051M20RIK	2.988672	3.008067	3.1136346	3.4365323	3.3877616	3.4835746
1110057P08Rik	1110057P08RIK	0	0	0	0	0	0
1110059E24Rik	1110059E24RIK	3.0431788	3.099239	3.1245017	3.3839445	3.3574166	3.3303866
1110059G10Rik	1110059G10RIK	2.6001816	2.498896	2.7090328	2.1980617	2.227685	2.3927536
1110060G06Rik	1110060G06RIK	0	0	0	0	0	0
1110065P20Rik	1110065P20RIK	2.9840572	2.9326248	2.878015	3.5033107	3.3813362	3.0663536
1190002N15Rik	1190002N15RIK	4.3167367	4.3543854	4.1599774	3.952355	4.032838	4.1675606
1190005I06Rik	1190005I06RIK	0.15498304	0.35160533	0.4486857	0.3571526	0.16598311	0.32317638
1190007I07Rik	1190007I07RIK	1.4168638	1.5124822	1.5028261	1.471551	1.6517148	1.5784752
1190028D05Rik	1190028D05RIK	0	0	0	0	0	0.008084445
1200007C13Rik	1200007C13RIK	1.567515	1.4855956	1.5290049	1.0222541	1.0315931	1.4346515
1300002E11Rik	1300002E11RIK	2.1116402	2.1881454	2.317419	2.2287774	2.0935657	2.269783
1300017J02Rik	1300017J02RIK	0.2776594	0.37944672	0.46753496	0.5411753	0.49528372	0.6338091
1500002C15Rik	1500002C15RIK	0.16795045	0.1939353	0.25508928	0.723399	0.579646	0.3406497
1500002F19Rik	1500002F19RIK	0.08049099	0.077198654	0.13890398	0.103697315	0.086431414	0.21794316
1500004A13Rik	1500004A13RIK	1.4950237	1.7639537	1.9530218	1.4144062	1.6773454	1.6982666
1500005C15Rik	1500005C15RIK	0	0	0	0	0	0
1500009C09Rik	1500009C09RIK	0	0	0.007423069	0	0	0
1500009L16Rik	1500009L16RIK	0.90138984	0.7625134	0.71810657	0.9850676	0.944222	1.248143
1500011B03Rik	1500011B03RIK	1.7177451	1.5945046	1.8588963	2.311007	2.1592321	2.1110356
1500011K16Rik	1500011K16RIK	3.2079532	3.010706	2.9190683	3.39054	3.2938159	3.1082008
1500012K07Rik	1500012K07RIK	0.08749701	0	0	0.015488665	0	0.0629163
1500015A07Rik	1500015A07RIK	1.5864062	1.5613761	1.7433193	1.5050266	1.412331	1.4892076
1500015L24Rik	1500015L24RIK	0.030024389	0	0.014791441	0.04576436	0.052749883	0.031952877
1500015O10Rik	1500015O10RIK	0.75147635	0.7047162	0.80837804	0.98214895	0.9955556	1.2052991
1500026H17Rik	1500026H17RIK	0.99578977	1.0364357	0.85063106	0.6848034	0.5383542	0.7704607
1500035N22Rik	1500035N22RIK	0.76575035	0.7656285	0.71081305	0.9674268	0.944222	1.0186858
1520401A03Rik	1520401A03RIK	0	0.013287439	0.043733716	0.11767092	0.017894255	0.039784078
1600002D24Rik	1600002D24RIK	0.1285326	0.1939353	0.2492994	0.34063506	0.32800022	0.41302606
1600002H07Rik	1600002H07RIK	2.2298088	2.3434181	2.486536	2.3316875	2.3249595	2.490206
1600002K03Rik	1600002K03RIK	2.0015786	2.032684	1.9913797	2.1446745	2.0767353	1.9618202
1600010M07Rik	1600010M07RIK	1.8673462	1.865235	1.8841207	1.7415506	1.9162984	2.0606318
1600012H06Rik	1600012H06RIK	3.402767	3.3262036	3.3394094	3.4387898	3.4518468	3.5644374
1600012P17Rik	1600012P17RIK	0	0	0	0	0	0
1600014C10Rik	1600014C10RIK	2.7109466	2.7203321	2.6980557	2.8340998	2.8948245	2.9666162
1600014C23Rik	1600014C23RIK	0.030024389	0.06473901	0.029367281	0	0	0.008084445
1600015I10Rik	1600015I10RIK	0	0	0.029367281	0.103697315	0.035473924	0
1600017P15Rik_1	1600017P15RIK_1	0	0	0.014791441	0.030741084	0	0
1600017P15Rik_2	1600017P15RIK_2	0	0	0	0	0	0
1600019K03Rik	1600019K03RIK	0	0	0	0	0	0
1600020E01Rik	1600020E01RIK	1.528627	1.4703403	1.4911537	1.7645361	1.717035	1.5547532
1600023N17Rik	1600023N17RIK	0.073435545	0.0393441	0.043733716	0.08952568	0	0.078045756
1600025M17Rik	1600025M17RIK	0	0	0	0	0	0
1600027J07Rik	1600027J07RIK	0	0	0	0	0	0
1600029O15Rik	1600029O15RIK	0.059173528	0.058450487	0.014791441	0.023143955	0.02672272	0.031952877
1700001C02Rik	1700001C02RIK	2.9829001	2.9386616	2.9588888	3.4279575	3.3571022	3.5156953
1700001C19Rik	1700001C19RIK	0.073435545	0.026400635	0.1258503	0.06056527	0.15830675	0.15739809
1700001D01Rik	1700001D01RIK	0	0	0	0	0.017894255	0
1700001F09Rik	1700001F09RIK	0	0	0	0	0	0
1700001G01Rik	1700001G01RIK	0	0	0	0.023143955	0	0.016104057
1700001G11Rik	1700001G11RIK	0.11504031	0.089504965	0.13890398	0.08952568	0.086431414	0.17798978
1700001G17Rik	1700001G17RIK	0.26019016	0.30340794	0.33814025	0.38408965	0.3214758	0.26884636
1700001J03Rik	1700001J03RIK	0	0.052122165	0.07877196	0.030741084	0.017894255	0.031952877
1700001J04Rik	1700001J04RIK	0	0	0	0	0	0
1700001J11Rik	1700001J11RIK	0	0	0	0	0	0
1700001K19Rik	1700001K19RIK	0.50399	0.6607932	0.77117586	0.4608029	0.39100498	0.4290098
1700001L05Rik	1700001L05RIK	0.7971408	0.9314759	1.0253837	1.0927193	1.1295993	1.3025541
1700001L19Rik	1700001L19RIK	2.786528	2.822405	2.6726506	3.3233883	3.147218	3.3654861
1700001N15Rik	1700001N15RIK	0	0	0	0	0	0
1700001O22Rik	1700001O22RIK	0.41749534	0.4285593	0.6387346	0.6446582	0.6433085	0.8288299
1700001P01Rik	1700001P01RIK	0.03739172	0.052122165	0	0.14504567	0.18116128	0.17798978
1700003C15Rik	1700003C15RIK	0.007591032	0	0.029367281	0.007774319	0	0
1700003D09Rik	1700003D09RIK	0.015124873	0.0393441	0.057896674	0	0	0
1700003E16Rik	1700003E16RIK	3.3189604	3.4011776	3.5023818	3.700896	3.7541697	3.893912
1700003E24Rik	1700003E24RIK	0	0	0	0	0	0
1700003F12Rik	1700003F12RIK	0.015124873	0.06473901	0	0.030741084	0	0.078045756
1700003G13Rik	1700003G13RIK	0.030024389	0.032893308	0.0924506	0.12458519	0.19611251	0.09294972
1700003G18Rik	1700003G18RIK	0	0	0	0	0	0
1700003H04Rik	1700003H04RIK	0	0	0	0	0	0
1700003I16Rik	1700003I16RIK	0.044705167	0.006665789	0	0.08236382	0.10285609	0.078045756
1700003I22Rik	1700003I22RIK	0	0	0	0	0	0
1700003L19Rik	1700003L19RIK	0	0	0	0	0	0
1700003M07Rik	1700003M07RIK	0.09445429	0.12554051	0.014791441	0.24761468	0.2949439	0.3290348
1700003N22Rik	1700003N22RIK	0	0	0	0	0	0
1700003P14Rik	1700003P14RIK	0	0	0	0.007774319	0	0
1700006A11Rik	1700006A11RIK	0	0	0	0	0	0.008084445
1700006E09Rik	1700006E09RIK	0.015124873	0	0	0	0	0.008084445
1700006F04Rik	1700006F04RIK	0	0	0	0	0	0
1700006H21Rik	1700006H21RIK	0.015124873	0	0	0	0.035473924	0
1700006J14Rik	1700006J14RIK	0.015124873	0	0.029367281	0.030741084	0	0
1700006P03Rik	1700006P03RIK	0	0	0	0	0	0
1700007E05Rik	1700007E05RIK	0	0.006665789	0	0	0	0.008084445
1700007F19Rik	1700007F19RIK	0	0	0	0	0	0
1700007G11Rik	1700007G11RIK	3.1427002	3.02217	3.0297554	3.4783368	3.3723943	3.5561295
1700007J10Rik	1700007J10RIK	0	0.013287439	0	0.030741084	0	0.016104057
1700007K09Rik	1700007K09RIK	0.015124873	0	0.014791441	0	0	0
1700007K13Rik	1700007K13RIK	4.251949	4.333631	4.0227046	4.3897805	4.299999	4.1939898
1700007L15Rik	1700007L15RIK	0.64140654	0.71130556	0.5652969	1.0848376	1.1029919	1.02744
1700007M16Rik	1700007M16RIK	0	0	0	0	0	0
1700007P06Rik	1700007P06RIK	0	0	0	0	0	0
1700008A23Rik	1700008A23RIK	0	0	0	0	0	0
1700008B11Rik	1700008B11RIK	0	0	0	0	0	0
1700008H02Rik	1700008H02RIK	0	0	0	0	0	0
1700008J07Rik	1700008J07RIK	1.2952013	1.2645392	1.1786882	1.0553944	1.1807803	1.2173854
1700008K24Rik	1700008K24RIK	0	0	0	0	0	0
1700008N11Rik	1700008N11RIK	0	0	0	0	0	0
1700008O03Rik	1700008O03RIK	0.21205623	0.2103273	0.23172587	0.19121909	0.19611251	0.4395254
1700008P02Rik	1700008P02RIK	0	0	0	0	0	0
1700009C05Rik	1700009C05RIK	0	0.006665789	0	0	0	0.016104057
1700009J07Rik	1700009J07RIK	0	0	0	0	0	0
1700009N14Rik	1700009N14RIK	0	0	0.014791441	0	0.017894255	0
1700010B08Rik	1700010B08RIK	0.06632996	0	0	0	0.017894255	0.114897266
1700010B13Rik	1700010B13RIK	0	0.019865531	0.014791441	0	0.035473924	0.031952877
1700010D01Rik	1700010D01RIK	0	0	0	0	0.008987152	0
1700010H22Rik	1700010H22RIK	0	0	0.043733716	0.015488665	0	0
1700010I02Rik	1700010I02RIK	0	0	0	0.015488665	0	0
1700010I14Rik	1700010I14RIK	1.0317316	0.9977387	1.0227079	1.2017031	1.3007873	1.4131535
1700010J16Rik	1700010J16RIK	0	0	0.007423069	0	0	0
1700010K23Rik	1700010K23RIK	0	0	0	0	0	0
1700010K24Rik	1700010K24RIK	0.108225286	0.24756163	0.17707272	0.103697315	0.10285609	0.1434309
1700010L04Rik	1700010L04RIK	0	0	0.014791441	0.015488665	0.017894255	0
1700010N08Rik	1700010N08RIK	0.007591032	0.006665789	0	0.007774319	0	0.008084445
1700011B04Rik	1700011B04RIK	0	0	0	0	0	0
1700011C11Rik	1700011C11RIK	0	0.026400635	0	0	0.035473924	0
1700011D18Rik	1700011D18RIK	0	0.006665789	0	0	0	0
1700011H14Rik	1700011H14RIK	0.09445429	0.052122165	0.057896674	0.015488665	0.06973244	0.078045756
1700011I03Rik	1700011I03RIK	0.21205623	0.18285611	0.17081158	0.27169347	0.18116128	0.29335815
1700011L03Rik	1700011L03RIK	0	0	0	0	0	0
1700011L22Rik	1700011L22RIK	0	0.052122165	0.029367281	0	0	0
1700011M02Rik	1700011M02RIK	0	0	0	0	0	0
1700012A03Rik	1700012A03RIK	0	0	0.043733716	0	0	0
1700012B07Rik	1700012B07RIK	0	0	0.014791441	0.015488665	0.035473924	0
1700012B09Rik	1700012B09RIK	2.0883124	2.0772302	2.0798974	2.3240778	2.3026426	2.3949761
1700012C08Rik	1700012C08RIK	0	0	0	0	0	0
1700012C14Rik	1700012C14RIK	0.030024389	0	0.036576297	0	0.035473924	0.031952877
1700012D14Rik	1700012D14RIK	0.43737325	0.50809234	0.7217335	0.57687277	0.5996696	0.8000711
1700012D16Rik	1700012D16RIK	0	0	0	0	0	0
1700012E03Rik	1700012E03RIK	0	0	0	0	0	0
1700012I11Rik	1700012I11RIK	0.022602381	0	0.036576297	0.04576436	0.035473924	0.016104057
1700012J15Rik	1700012J15RIK	0.007591032	0	0	0	0	0
1700012J22Rik	1700012J22RIK	0.015124873	0	0	0	0	0
1700012P22Rik	1700012P22RIK	0.030024389	0.0393441	0	0	0.017894255	0.031952877
1700013A02Rik	1700013A02RIK	0	0.006665789	0	0.04576436	0.052749883	0
1700013D24Rik	1700013D24RIK	0	0	0	0	0	0.008084445
1700013F07Rik	1700013F07RIK	2.0269933	2.01679	2.057302	2.481374	2.3832564	2.6282525
1700013G24Rik	1700013G24RIK	0	0	0	0	0	0
1700013H16Rik	1700013H16RIK	0	0.013287439	0.014791441	0	0	0
1700013M08Rik	1700013M08RIK	0	0	0	0	0	0
1700013N06Rik	1700013N06RIK	0.015124873	0.013287439	0.029367281	0.007774319	0.008987152	0
1700014D04Rik	1700014D04RIK	0.059173528	0.0393441	0.014791441	0.04576436	0.017894255	0.0629163
1700014F14Rik	1700014F14RIK	0	0	0	0	0	0
1700014L14Rik	1700014L14RIK	0	0	0	0	0	0
1700015C17Rik	1700015C17RIK	0	0	0	0	0	0
1700015F17Rik	1700015F17RIK	0	0	0	0	0	0
1700015G11Rik	1700015G11RIK	0	0	0	0	0	0
1700015I17Rik	1700015I17RIK	0	0.013287439	0	0	0	0
1700015O11Rik	1700015O11RIK	0	0	0.014791441	0	0.06973244	0
1700016A09Rik	1700016A09RIK	0	0	0	0	0	0
1700016B01Rik	1700016B01RIK	0.044705167	0.13726944	0.1894786	0.19121909	0.2108435	0.25006002
1700016B15Rik	1700016B15RIK	0	0	0	0	0	0
1700016C15Rik	1700016C15RIK	0.40232322	0.34214988	0.39994687	0.61133975	0.5540391	0.7476629
1700016D06Rik	1700016D06RIK	0.14843574	0.2211079	0.14536747	0.21037318	0.2676888	0.20480195
1700016D08Rik	1700016D08RIK	0	0	0	0	0	0
1700016F12Rik	1700016F12RIK	0.015124873	0.013287439	0.014791441	0.015488665	0	0.031952877
1700016G14Rik	1700016G14RIK	0.059173528	0.058450487	0.050840266	0.030741084	0.035473924	0.008084445
1700016G22Rik	1700016G22RIK	0.015124873	0.026400635	0	0.030741084	0.16598311	0.09294972
1700016H13Rik	1700016H13RIK	0.52223575	0.45860186	0.41972834	0.63643205	0.46739113	0.49546415
1700016K19Rik	1700016K19RIK	3.6954932	3.7265677	3.6297154	4.156301	4.132071	4.2390046
1700016L21Rik	1700016L21RIK	0	0	0	0.030741084	0	0.04755443
1700016P03Rik	1700016P03RIK	0.3817289	0.31323504	0.31121576	0.38408965	0.31490853	0.49546415
1700016P04Rik	1700016P04RIK	0	0	0	0	0	0
1700017B05Rik	1700017B05RIK	2.8741565	2.8731909	2.979167	3.4041202	3.3776457	3.5876088
1700017D01Rik	1700017D01RIK	0.022602381	0.06473901	0.057896674	0.015488665	0.10285609	0.024059866
1700017G19Rik	1700017G19RIK	0	0	0	0	0.017894255	0
1700017I07Rik	1700017I07RIK	0	0	0	0	0	0
1700017J07Rik	1700017J07RIK	0	0	0	0	0	0
1700017L05Rik	1700017L05RIK	0	0	0	0	0	0
1700017M07Rik	1700017M07RIK	0.051965516	0.058450487	0.043733716	0.04576436	0.044149213	0.23733678
1700017N19Rik	1700017N19RIK	0	0	0	0	0	0
1700018A04Rik	1700018A04RIK	0.6573282	0.54754204	0.6960644	1.1362457	1.0756571	1.4190626
1700018A14Rik	1700018A14RIK	0	0	0	0	0	0
1700018A23Rik	1700018A23RIK	0	0	0	0	0.017894255	0.016104057
1700018B08Rik	1700018B08RIK	0	0	0.07186184	0	0	0
1700018B24Rik	1700018B24RIK	0	0	0	0	0	0
1700018F24Rik	1700018F24RIK	0.08749701	0.13726944	0.20173249	0.36801463	0.41513586	0.846393
1700018G05Rik	1700018G05RIK	0.015124873	0	0	0	0	0
1700018L02Rik	1700018L02RIK	0.51770544	0.5666982	0.56105447	0.57687277	0.7208772	0.6635107
1700018M17Rik	1700018M17RIK	0	0.026400635	0.014791441	0	0.035473924	0.016104057
1700018P08Rik	1700018P08RIK	0	0	0	0	0	0
1700019A02Rik	1700019A02RIK	0.08049099	0.08337074	0.057896674	0.038280934	0.07811678	0.024059866
1700019A23Rik	1700019A23RIK	0	0	0	0	0	0
1700019B21Rik	1700019B21RIK	0	0	0	0	0	0
1700019D03Rik	1700019D03RIK	1.0999575	1.0364357	1.319581	2.6023335	2.634521	1.9799163
1700019E08Rik	1700019E08RIK	0	0	0	0	0	0
1700019F05Rik	1700019F05RIK	0	0	0	0	0	0
1700019G24Rik	1700019G24RIK	0.03739172	0	0.014791441	0.04576436	0	0.0629163
1700019M22Rik	1700019M22RIK	0	0	0	0	0	0
1700019N19Rik	1700019N19RIK	0.044705167	0.06473901	0.014791441	0.0966366	0.11901535	0.10031922
1700019P21Rik	1700019P21RIK	0	0	0	0	0	0
1700020A23Rik	1700020A23RIK	0	0.013287439	0	0.015488665	0	0
1700020D05Rik	1700020D05RIK	0.015124873	0	0	0.030741084	0.035473924	0.0629163
1700020G03Rik	1700020G03RIK	0.15498304	0.34688878	0.31121576	0.2166772	0.25377753	0.25636142
1700020G17Rik	1700020G17RIK	0.015124873	0.026400635	0.043733716	0	0.017894255	0.016104057
1700020I14Rik	1700020I14RIK	4.1088605	4.1969423	4.2844667	4.149431	4.159369	4.5148168
1700020L24Rik	1700020L24RIK	1.1024908	1.0051093	1.3275142	0.88071984	0.8974964	0.5987478
1700020M21Rik	1700020M21RIK	0	0	0	0	0	0
1700020N01Rik	1700020N01RIK	0.030024389	0.013287439	0.036576297	0.04576436	0.061277214	0.016104057
1700020N15Rik	1700020N15RIK	0	0	0	0.015488665	0	0.008084445
1700020N18Rik	1700020N18RIK	0.72599584	0.65037715	0.67352533	1.1803565	1.1266778	1.2802415
1700021A07Rik	1700021A07RIK	0	0	0	0	0.008987152	0
1700021F02Rik	1700021F02RIK	0	0.019865531	0.014791441	0.007774319	0.008987152	0.0629163
1700021F05Rik	1700021F05RIK	2.0169048	2.0247686	1.9913797	2.2835464	2.3433285	2.1429627
1700021F07Rik	1700021F07RIK	0	0	0	0	0	0
1700021F13Rik	1700021F13RIK	0.015124873	0.006665789	0.014791441	0.103697315	0.017894255	0.04755443
1700021J08Rik	1700021J08RIK	0.030024389	0.006665789	0.11262398	0	0	0.031952877
1700021L23Rik	1700021L23RIK	0	0	0	0	0	0
1700021N21Rik	1700021N21RIK	0	0.026400635	0	0.015488665	0	0.016104057
1700021P04Rik	1700021P04RIK	0	0	0	0	0	0
1700022A21Rik	1700022A21RIK	0	0	0	0	0	0
1700022A22Rik	1700022A22RIK	0	0.013287439	0.043733716	0.038280934	0.035473924	0.016104057
1700022E09Rik	1700022E09RIK	0	0	0	0	0	0
1700022H16Rik	1700022H16RIK	0	0	0	0	0	0
1700022I11Rik	1700022I11RIK	0.08749701	0.22645491	0.1956243	0.30099887	0.173601	0.25006002
1700022N22Rik	1700022N22RIK	0.2660472	0.34214988	0.33814025	0.35167703	0.23967002	0.31728345
1700023C21Rik	1700023C21RIK	0	0	0	0	0	0
1700023F02Rik	1700023F02RIK	0	0	0	0.015488665	0	0
1700023F06Rik	1700023F06RIK	0.030024389	0.026400635	0.029367281	0.07515031	0.035473924	0.085525505
1700023G09Rik	1700023G09RIK	0	0	0	0	0	0
1700023H06Rik	1700023H06RIK	0.059173528	0.089504965	0.08563466	0.015488665	0	0.016104057
1700024B05Rik	1700024B05RIK	0	0	0	0	0	0
1700024B18Rik	1700024B18RIK	0	0	0	0	0	0
1700024G13Rik	1700024G13RIK	2.7022982	2.6169524	2.551918	3.0750525	2.924343	3.1768744
1700024J04Rik	1700024J04RIK	0	0	0	0	0	0
1700024P04Rik	1700024P04RIK	0	0	0	0	0	0
1700025A08Rik	1700025A08RIK	0.044705167	0.013287439	0	0.015488665	0	0.04755443
1700025B11Rik	1700025B11RIK	0	0	0.014791441	0.007774319	0	0.016104057
1700025C18Rik	1700025C18RIK	0	0	0	0.007774319	0	0
1700025D23Rik	1700025D23RIK	0	0	0	0	0	0
1700025F22Rik	1700025F22RIK	0.073435545	0.013287439	0.036576297	0.015488665	0.052749883	0.085525505
1700025F24Rik	1700025F24RIK	0.14184527	0.11367236	0.14536747	0.13145196	0.12699811	0.23091394
1700025G04Rik	1700025G04RIK	2.594507	2.6748292	2.8054602	2.2626474	2.384089	2.7359433
1700025H01Rik	1700025H01RIK	0	0	0	0.007774319	0	0
1700025J12Rik	1700025J12RIK	0	0	0	0	0	0
1700025K24Rik	1700025K24RIK	0	0	0	0	0	0.008084445
1700025L06Rik	1700025L06RIK	0	0	0	0	0	0
1700025M24Rik	1700025M24RIK	0	0.06473901	0	0.015488665	0.09467747	0.055264864
1700025N21Rik	1700025N21RIK	0	0.013287439	0	0	0	0
1700025N23Rik	1700025N23RIK	0	0	0	0	0	0.031952877
1700025O08Rik	1700025O08RIK	0	0	0	0	0.008987152	0
1700026D11Rik	1700026D11RIK	0.030024389	0	0.022105917	0.015488665	0	0.04755443
1700026F02Rik	1700026F02RIK	0.022602381	0.032893308	0.029367281	0.015488665	0.09467747	0.039784078
1700026J12Rik	1700026J12RIK	0	0	0.007423069	0	0	0
1700026J14Rik	1700026J14RIK	0.030024389	0.026400635	0.08563466	0.08952568	0.11901535	0.15043887
1700027A07Rik	1700027A07RIK	0	0.026400635	0.043733716	0	0	0
1700027A15Rik	1700027A15RIK	0.007591032	0.006665789	0	0.07515031	0.052749883	0
1700027F06Rik	1700027F06RIK	0	0	0	0	0	0
1700027F09Rik	1700027F09RIK	0	0	0	0	0	0.055264864
1700027H10Rik	1700027H10RIK	0	0	0	0	0	0
1700027I24Rik	1700027I24RIK	0	0	0	0	0	0
1700028B04Rik	1700028B04RIK	0	0	0	0	0	0
1700028D13Rik	1700028D13RIK	0.015124873	0.013287439	0	0.030741084	0	0.031952877
1700028E10Rik	1700028E10RIK	0.6651949	0.7467908	0.89726454	0.6028337	0.5540391	0.80371153
1700028I16Rik	1700028I16RIK	0.015124873	0.013287439	0.11262398	0.08952568	0.13491765	0.09294972
1700028J19Rik	1700028J19RIK	0.23037905	0.14886242	0.2492994	0.28351888	0.30164316	0.122107364
1700028K03Rik	1700028K03RIK	0.030024389	0.0393441	0.057896674	0.04576436	0	0.0629163
1700028M03Rik	1700028M03RIK	0.007591032	0.006665789	0.014791441	0	0	0.008084445
1700028N14Rik	1700028N14RIK	0	0.006665789	0	0.015488665	0	0.016104057
1700028P14Rik	1700028P14RIK	2.6147866	2.562248	2.4330614	3.0029426	2.9628594	3.1261725
1700028P15Rik	1700028P15RIK	0	0	0	0	0	0
1700029B22Rik	1700029B22RIK	0	0	0	0	0	0
1700029B24Rik	1700029B24RIK	0.03739172	0.089504965	0.07186184	0	0.02672272	0.122107364
1700029E06Rik	1700029E06RIK	0	0	0	0	0	0
1700029F12Rik	1700029F12RIK	0	0.026400635	0	0	0	0
1700029H14Rik	1700029H14RIK	0	0	0.029367281	0	0.052749883	0
1700029I15Rik	1700029I15RIK	0.3607015	0.45010996	0.44391733	0.28351888	0.2814092	0.32317638
1700029J03Rik	1700029J03RIK	0.30048686	0.26310432	0.34343925	0.5812467	0.6385527	0.5942774
1700029J07Rik	1700029J07RIK	2.2132828	2.2499373	2.0752318	2.675899	2.6763847	2.8345876
1700029M03Rik	1700029M03RIK	0	0	0	0	0	0
1700029M20Rik	1700029M20RIK	0	0	0	0	0	0
1700029N11Rik	1700029N11RIK	0	0	0	0	0	0
1700029P11Rik	1700029P11RIK	0	0.013287439	0.043733716	0	0.035473924	0
1700030A11Rik	1700030A11RIK	0	0	0	0	0	0
