ProbeID	Name	HCT116_DMSO_A1_S25_L003	HCT116_DMSO_B1_S27_L003	HCT116_DMSO_C1_S26_L003	HCT116_PF_20uL_D1_S30_L003	HCT116_PF_20uL_E1_S29_L003	HCT116_PF_20uL_F1_S28_L003	SW480_DMSO_A2_S31_L003	SW480_DMSO_G1_S32_L003	SW480_DMSO_H1_S33_L003	SW480_PF_20uL_B2_S36_L003	SW480_PF_20uL_C2_S35_L003	SW480_PF_20uL_D2_S34_L003
ENSG00000211807	TRAV26-1	0	0	0	0	0	0	0	0	0	0	0.199652873	0
ENSG00000211808	TRAV8-7	0	0	0	0	0.305761614	0	0	0	0	0.349995894	0	0.384238837
ENSG00000211809	TRAV27	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211810	TRAV29DV5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259092	TRAV30	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211812	TRAV26-2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211813	TRAV34	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211815	TRAV36DV7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211816	TRAV38-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211817	TRAV38-2DV8	0	0	0	0	0.234464532	0.237216157	0	0	0	0.505763926	0	0
ENSG00000211818	TRAV39	0	0	0	0.626989475	0	0	0	0	0	0.367757969	0.432604568	0
ENSG00000211819	TRAV40	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211820	TRAV41	0	0	0	0	0	0	0	0	0	0.358427771	0	0
ENSG00000211717	TRBV10-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211720	TRBV11-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229769	TRBV10-2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211721	TRBV6-5	0	0.153373436	0	0	0	0	0	0	0	0	0	0
ENSG00000253409	TRBV7-4	0	0	0	0	0	0	0	3.46E-08	0	0	0	0
ENSG00000230099	TRBV5-4	0	0	0	0.149541633	0	0.140596754	0	0	0	0	0.195774674	0
ENSG00000211724	TRBV6-6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211725	TRBV5-5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253188	TRBV6-7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211727	TRBV7-6	0.244790876	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211728	TRBV5-6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253534	TRBV6-8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253291	TRBV7-7	0	0	0	0	0	0	0	0.176348307	0.184979729	0	0	0
ENSG00000211731	TRBV5-7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278030	TRBV7-9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276405	TRBV13	0	0	0.155069167	0	0	0	0	0	0	0	0	0
ENSG00000275791	TRBV10-3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276597	TRBV11-3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274752	TRBV12-3	4.19E-09	0.293212727	0	0	0	0	0	0.247695449	0	0	0	0
ENSG00000276953	TRBV12-4	0.119818164	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275158	TRBV12-5	0	0.152633846	0	0	0	0	0	0	0	0	0	0
ENSG00000237254	TRBV30	0	0	0	0.205937956	0.357228805	0.441643888	0	0	0	0.420683964	1.388839775	0.950620701
ENSG00000289723	None	0	0	0	0	0	0.183078659	0	0	0	0	0	0
ENSG00000205274	TRBV20OR9-2	0	0.409950254	0.357359445	0	0	0	0	0.354939559	0.665854796	0	0	0
ENSG00000211693	TRGV11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211694	TRGV10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211695	TRGV9	0	0	0	0	0	0.061306718	0	0	0.035702447	0	0.087642607	0.041811956
ENSG00000211696	TRGV8	0	0	0.203120952	0	0	0	0	0	0	0.555488322	0.246854357	0.427337989
ENSG00000211697	TRGV5	0.495138441	0.34209615	0.297347566	0	0	0	0.89092602	0.28368476	0.666423938	0.163556697	0	0.337088787
ENSG00000211698	TRGV4	0.101803884	0.131018219	0.313594147	0.74834358	0.498596052	0.581948932	0.229293817	0.205287404	0	0.729766793	0.756444345	0.959627733
ENSG00000211699	TRGV3	0	0	0	0.15261957	0.268116954	0	0	0	0.452718773	0	0.237589415	0
ENSG00000233306	TRGV2	0	0	0.159915888	0.149541633	0	0	0.17000579	0.15231973	0.566822946	0.501941485	0.195774674	0
ENSG00000211701	TRGV1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275743	TRBV14	0.230444057	0	0	0	0	0	0.143461339	0.13086934	0	0	0	0
ENSG00000276819	TRBV15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275243	TRBV16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277880	TRBV17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276557	TRBV18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211746	TRBV19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211747	TRBV20-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211749	TRBV23-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211750	TRBV24-1	0	0	0	0	0	0	0	0	0	0	0	0.168702361
ENSG00000282499	TRBV25-1	0	0	0	0	0.130622798	0	0	0	0	0.153200899	0.343981943	0.168702361
ENSG00000211752	TRBV27	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211753	TRBV28	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232869	TRBV29-1	0	0	0	0	0	0	0.278574793	0	0	0.384189095	0	0.15384424
ENSG00000211829	TRDC	0	0	0	0	0.174589221	0	0	0	0	0	0.25099067	0.122397338
ENSG00000277734	TRAC	0	0.081992919	0	0.127442845	0	0	0	0.128471714	0	0	0	0
ENSG00000211751	TRBC1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211772	TRBC2	8.74E-05	0	6.99E-05	0	0	0	0	0	7.70E-05	0	0	0
ENSG00000227191	TRGC2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211689	TRGC1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211674	IGLJ1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211676	IGLJ2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211678	IGLJ3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211680	IGLJ4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211681	IGLJ5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211682	IGLJ6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211684	IGLJ7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211900	IGHJ6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242472	IGHJ5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240041	IGHJ4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242887	IGHJ3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211904	IGHJ2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211905	IGHJ1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211593	IGKJ5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211594	IGKJ4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211595	IGKJ3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211596	IGKJ2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211597	IGKJ1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211895	IGHA1	0.106674079	0.06826563	0.088063963	0.089330279	0.123174444	0.077907443	0.093011658	0.135658318	0.118650628	0.063118955	0.037894683	0.202309888
ENSG00000211675	IGLC1	0.187350965	0	0.391090198	0.368985086	0.617770526	0.184281564	0.414480872	0.201345293	0.850262562	0.569042854	0.253731554	0
ENSG00000211677	IGLC2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211679	IGLC3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211685	IGLC7	0	0	0	0.210734222	0	0	0	0	0	0	0.271536832	0.466710639
ENSG00000211896	IGHG1	0	0.034743668	0.065913335	0.03111397	0.025038946	0	0.035267766	0.031365552	0.08366039	0.070667947	0	0
ENSG00000211897	IGHG3	0.004000653	0	0	0.019570838	0	0.018587033	0.022102866	0	0.022806113	0	0	0
ENSG00000211898	IGHD	0	0	0.018297743	0	0	0	0	0	0	0	0	0
ENSG00000211899	IGHM	0.148226083	0.120754697	0	0.019682417	0	0.018648273	0.022271642	0.03935236	0	0	0.296721694	0.098147865
ENSG00000211890	IGHA2	0	0	0	0	0	0.02771205	0	0	0	0	0.039699076	0
ENSG00000211891	IGHE	0.138135548	0.103186474	0.066163744	0.061791678	0.019048124	0	0.092341686	0.041761782	0.089316718	0	0.110534031	0
ENSG00000211892	IGHG4	0.069899141	0	0.151584276	0.640830978	0.580947863	0.234160012	0.062181685	0.082276121	0.090099239	0.891977569	0.786014985	0.623800951
ENSG00000211893	IGHG2	0	0	0.002107608	0.005737442	0.007925091	0.005909106	0	0	0.003373935	0.002291113	0.053908374	0.043415126
ENSG00000211592	IGKC	0	0	0	0.552303287	0	0	0	0	0.174407697	0.606762476	0.207856628	0
ENSG00000277282	IGHV1OR21-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211667	IGLV3-12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211668	IGLV2-11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270505	IGHV1OR15-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281179	None	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278263	None	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259490	IGHV3OR15-7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188403	IGHV1OR15-9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211949	IGHV3-23	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211956	IGHV4-34	0	0	0	0	0	0.232329206	0	0	0	0	0	0
ENSG00000211958	IGHV3-38	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211952	IGHV4-28	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211947	IGHV3-21	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000282639	IGHV3-64D	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211957	IGHV3-35	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211943	IGHV3-15	0	0	0	0	0.525838363	0	0	0	0	0	0	0
ENSG00000211946	IGHV3-20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211950	IGHV1-24	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211955	IGHV3-33	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270550	IGHV3-30	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000282651	IGHV5-10-1	0	0	0	0	0.410494159	0	0	0	0	0	0	0
ENSG00000211951	IGHV2-26	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211945	IGHV1-18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231475	IGHV4-31	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211942	IGHV3-13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211944	IGHV3-16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211941	IGHV3-11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211637	IGLV4-69	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211642	IGLV10-54	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211638	IGLV8-61	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211639	IGLV4-60	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211640	IGLV6-57	0	0	0	0	0	0	0.347813036	0	0	0	0	0
ENSG00000211641	IGLV11-55	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211643	IGLV5-52	3.465073315	3.40455848	3.482357838	3.925125944	3.886062338	3.275170981	4.140835904	3.42730178	3.064801818	4.270992324	4.019310501	4.091090474
ENSG00000211644	IGLV1-51	1.209422172	0	1.180517083	2.253986242	2.268455354	1.761672494	0.7477861	1.021877657	1.460737322	2.770363927	2.90297462	2.751446582
ENSG00000211645	IGLV1-50	0	0	0	1.194452724	1.007697845	0.750260903	0.506005731	0	0	0.85083142	1.139973663	0.736229055
ENSG00000223350	IGLV9-49	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211647	IGLV5-48	0	0	0	0	0.265150009	0	0	0	0	0	0	0
ENSG00000211648	IGLV1-47	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211649	IGLV7-46	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211650	IGLV5-45	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211651	IGLV1-44	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211652	IGLV7-43	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211653	IGLV1-40	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211654	IGLV5-37	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211655	IGLV1-36	0.12702623	0	0.142050022	0.134013361	0	0	0	0	0.280712876	0.398036183	0	0.303945535
ENSG00000211959	IGHV4-39	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232216	IGHV3-43	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211961	IGHV1-45	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211962	IGHV1-46	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211964	IGHV3-48	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211965	IGHV3-49	0	0	0	0.110049946	0	0	0	0	0	0	0	0
ENSG00000211966	IGHV5-51	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211967	IGHV3-53	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211968	IGHV1-58	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224373	IGHV4-59	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254167	IGHV8-51-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211656	IGLV2-33	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211657	IGLV3-32	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211658	IGLV3-27	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211659	IGLV3-25	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211660	IGLV2-23	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211661	IGLV3-22	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211662	IGLV3-21	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211663	IGLV3-19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211664	IGLV2-18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211665	IGLV3-16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211666	IGLV2-14	0	0	0.261063782	0	0	0	0	0	0	0	0	0
ENSG00000243466	IGKV1-5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211599	IGKV5-2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211669	IGLV3-10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211670	IGLV3-9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278196	IGLV2-8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211672	IGLV4-3	0.233453714	0	0.260013608	0	0	0	0	0	0	0	0	0
ENSG00000211673	IGLV3-1	0	0.306534069	0	0	0	0	0	0.259844931	0	0	0	0
ENSG00000211933	IGHV6-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211934	IGHV1-2	0	0	0	0.120455593	0	0.112309401	0	0	0	0.252464103	0	0
ENSG00000211935	IGHV1-3	0	0	0	0	0	0	0	0.137463521	0	0	0	0
ENSG00000276775	IGHV4-4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000282122	IGHV7-4-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211937	IGHV2-5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211938	IGHV3-7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211970	IGHV4-61	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223648	IGHV3-64	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211972	IGHV3-66	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211973	IGHV1-69	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211974	IGHV2-70D	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281990	IGHV1-69-2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280411	IGHV1-69D	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274576	IGHV2-70	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225698	IGHV3-72	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211976	IGHV3-73	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224650	IGHV3-74	0	0	0	0	0.234024226	0	0	0	0	0	0	0
ENSG00000211979	IGHV7-81	0	0	0	0.243770212	0.224596	0.5960497	0	0	0	0.264098001	0	0
ENSG00000233999	IGKV3OR2-268	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259261	IGHV4OR15-8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270472	IGHV3OR16-9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259303	IGHV2OR16-5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233732	IGHV3OR16-10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271130	IGHV3OR16-8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270467	IGHV3OR16-12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271178	IGHV3OR16-13	0	0	0	0	0	0	0	0	0	0	0.389628483	0
ENSG00000231292	IGKV1OR2-108	0.535510544	0	0	0	0	0.288117551	0	0	0	0	0	0
ENSG00000211598	IGKV4-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239855	IGKV1-6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243063	IGKV3-7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240671	IGKV1-8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241755	IGKV1-9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241351	IGKV3-11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243290	IGKV1-12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244437	IGKV3-15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240864	IGKV1-16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240382	IGKV1-17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239951	IGKV3-20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211611	IGKV6-21	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241294	IGKV2-24	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244575	IGKV1-27	0	0	0	0	0	0	0	0	0	0	0	0
