ProbeID	Name	Xenograft_PF_treated_F1_S40	Xenograft_PF_treated_F2_S36	Xenograft_control_C1_S15	Xenograft_PF_treated_F3_S50	Xenograft_control_C2_S5	Xenograft_control_C3_S52
IGHD2OR15-2A	IGHD2OR15-2A	0	0	0	0	0	0
IGHD3-10	IGHD3-10	0	0	0	0	0	0
IGHD2-21	IGHD2-21	0	0	0	0	0	0
IGHD3-22	IGHD3-22	0	0	0	0	0	0
IGHD4-23	IGHD4-23	0	0	0	0	0	0
IGHD3-9	IGHD3-9	0	0	0	0	0	0
IGHD5-18	IGHD5-18	0	0	0	0	0	0
IGHD4-17	IGHD4-17	0	0	0	0	0	0
IGHD5OR15-5A	IGHD5OR15-5A	0	0	0	0	0	0
IGHD3-16	IGHD3-16	0	0	0	0	0	0
IGHD6-19	IGHD6-19	0	0	0	0	0	0
IGHD4-4	IGHD4-4	0	0	0	0	0	0
IGHD6-25	IGHD6-25	0	0	0	0	0	0
IGHD5-5	IGHD5-5	0	0	0	0	0	0
IGHD1-7	IGHD1-7	0	0	0	0	0	0
TRBV23-1	TRBV23-1	0	0	0	0	0	0
TRBV28	TRBV28	0	0	0	0	0	0
TRBV12-5	TRBV12-5	0	0	0	0	0	0
TRBV5-5	TRBV5-5	0	0	0	0	0	0
TRBV7-4	TRBV7-4	0	0	0	0	0	0
TRAV41	TRAV41	0	0	0	0	0	0
TRAV2	TRAV2	0	0.28299246	0	0	0	0
TRAV36DV7	TRAV36DV7	0	0	0	0	0	0
TRAV14DV4	TRAV14DV4	0	0	0	0	0	0
TRAV13-1	TRAV13-1	0	0	0	0	0.316755138	0
TRAV8-3	TRAV8-3	0	0	0	0	0	0
TRBV30	TRBV30	0	0.097980996	0	0.168771667	0	0
TRBV20-1	TRBV20-1	0	0	0	0	0	0
TRBV10-3	TRBV10-3	0	0	0	0	0	0
TRBV7-9	TRBV7-9	0	0	0	0	0	0
TRAV23DV6	TRAV23DV6	0	0	0	0	0	0
TRBV6-6	TRBV6-6	0	0	0	0	0	0
TRBV9	TRBV9	0	0	0	0	0	0
TRAV20	TRAV20	0	0	0	0	0	0
TRBV29-1	TRBV29-1	0.139806063	0.224063743	0	0.102935425	0	0
TRBV25-1	TRBV25-1	0	0.127244063	0	0	0.151893877	0.109260253
TRBV5-7	TRBV5-7	0	0	0	0	0	0
TRBV5-4	TRBV5-4	0.322715015	0	0	0.126370154	0	0
TRBV6-4	TRBV6-4	0	0	0	0	0	0
TRAV3	TRAV3	0	0	0	0	0	0
TRAV1-2	TRAV1-2	0	0	0	0	0.265855721	0
TRBV17	TRBV17	0	0	0	0	0	0
TRBV15	TRBV15	0	0	0	0	0	0
TRBV7-3	TRBV7-3	0	0	0.243836005	0	0	0
TRBV6-1	TRBV6-1	0	0	0	0	0	0
TRBV4-1	TRBV4-1	0	0	0	0	0	0
TRAV29DV5	TRAV29DV5	0	0	0	0	0	0
TRAV27	TRAV27	0	0.205129726	0	0	0	0
TRBV30	TRBV30	0	0.097980996	0	0.168771667	0	0
TRBV13	TRBV13	0	0	0	0	0	0
TRBV6-8	TRBV6-8	0	0	0	0	0	0
TRBV5-6	TRBV5-6	0	0	0	0	0	0
TRBV7-6	TRBV7-6	0	0	0	0	0.276397803	0
TRBV6-7	TRBV6-7	0	0	0	0	0	0
TRBV6-5	TRBV6-5	0	0	0	0	0	0.096974252
TRBV10-2	TRBV10-2	0	0	0	0	0	0
TRBV11-1	TRBV11-1	0	0	0	0	0	0
TRBV4-2	TRBV4-2	0	0	0	0	0	0
TRDV3	TRDV3	0	0	0	0	0	0.177676738
TRAV38-1	TRAV38-1	0	0	0	0	0	0
TRAV38-2DV8	TRAV38-2DV8	0	0	0	0	0	0
TRAV26-2	TRAV26-2	0	0	0	0	0	0
TRAV26-1	TRAV26-1	0	0	0	0	0	0
TRAV24	TRAV24	0	0	0	0	0	0
TRBV14	TRBV14	0	0	0.122556503	0	0	0.277390889
TRAV19	TRAV19	0	0	0.190307642	0	0	0.154098384
TRBV12-4	TRBV12-4	0	0	0.122556503	0	0.261816016	0.646471444
TRAV9-1	TRAV9-1	0	0	0	0	0	0
TRBV20-1	TRBV20-1	0	0	0.229347966	0	0.25502449	0
TRAV40	TRAV40	0	0	0	0	0	0
TRAV22	TRAV22	0	0	0	0	0	0
TRAV21	TRAV21	0	0	0	0	0	0
TRAV16	TRAV16	0	0	0	0	0	0.266912443
TRAV12-3	TRAV12-3	0	0	0	0.201391719	0	0
TRAV8-4	TRAV8-4	0	0	0	0	0	0
TRBV12-5	TRBV12-5	0	0	0	0	0	0
TRBV24-1	TRBV24-1	0	0	0.260355721	0	0	0
TRBV5-3	TRBV5-3	0	0.152017232	0	0	0	0
TRBV5-1	TRBV5-1	0	0	0	0	0	0
TRBV27	TRBV27	0	0	0	0	0	0
TRBV18	TRBV18	0	0	0	0	0	0
TRBV10-1	TRBV10-1	0	0	0	0	0	0
TRAV9-2	TRAV9-2	0	0	0	0	0	0
TRBV14	TRBV14	0	0	0.122556503	0	0	0.277390889
TRAV30	TRAV30	0	0.755227724	0	0.266092081	0	0
TRAV8-7	TRAV8-7	0	0	0	0	0	0
TRBV7-2	TRBV7-2	0	0	0	0	0	0
TRBV6-2	TRBV6-2	0	0	0	0	0	0
TRBV4-2	TRBV4-2	0	0	0	0	0	0
TRAV25	TRAV25	0	0	0	0	0	0
TRDV1	TRDV1	0	0	0	0	0	0
TRBV12-3	TRBV12-3	0	0	0	0	0	0
TRBV11-3	TRBV11-3	0	0	0	0	0	0
TRBV7-7	TRBV7-7	0	0	0	0	0	0.3535943
TRAV39	TRAV39	0	0.306524736	0	0.274235417	0	0
TRAV34	TRAV34	0	0	0	0	0	0
TRAV18	TRAV18	0	0	0.208222573	0	0	0.695503926
TRAV8-6	TRAV8-6	0	0	0	0	0	0
TRAV12-2	TRAV12-2	0	0	0	0	0	0
TRAV1-1	TRAV1-1	0	0	0	0	0	0
TRBV19	TRBV19	0	0	0	0	0	0
TRBV3-1	TRBV3-1	0	0	0	0	0	0
TRBV2	TRBV2	0.248686627	0	0	0	0.129069581	0
TRBV7-1	TRBV7-1	0	0	0	0	0	0
TRAV13-2	TRAV13-2	0	0.405702703	0	0	0	0
TRAV12-1	TRAV12-1	0	0	0	0	0	0
TRAV10	TRAV10	0.293331635	0	0	0	0	0
TRAV8-1	TRAV8-1	0	0	0	0	0	0
TRAV7	TRAV7	0	0	0	0	0	0
TRAV5	TRAV5	0	0	0	0	0	0
TRAV4	TRAV4	0	0	0	0	0	0
TRBV15	TRBV15	0	0	0	0	0	0
TRBV16	TRBV16	0	0	0	0	0	0
TRDV2	TRDV2	0	0	0	0.25808952	0	0
TRAV17	TRAV17	0	0	0	0	0	0
TRAV8-2	TRAV8-2	0	0	0	0	0	0
TRAV6	TRAV6	0	0	0	0	0	0
TRBV27	TRBV27	0	0	0	0	0	0
TRBV28	TRBV28	0	0	0	0	0	0
TRBV29-1	TRBV29-1	0.139806063	0.224063743	0	0.102935425	0	0
TRBV24-1	TRBV24-1	0	0	0	0	0	0
TRBV19	TRBV19	0	0	0	0	0	0
TRBV17	TRBV17	0	0	0	0	0	0
TRBV12-4	TRBV12-4	0	0	0.122556503	0	0.261816016	0
TRGV11	TRGV11	0	0	0	0	0	0
TRGV4	TRGV4	0.534919193	0.604072273	0.56774013	0.598747269	0.237750926	0.204028002
TRBV5-1	TRBV5-1	0	0	0	0	0	0
TRBV23-1	TRBV23-1	0	0	0	0	0	0
TRBV13	TRBV13	0	0	0	0	0	0
TRBV7-6	TRBV7-6	0	0	0	0	0	0
TRBV6-7	TRBV6-7	0	0	0	0	0	0
TRBV5-6	TRBV5-6	0	0	0	0	0	0
TRBV6-5	TRBV6-5	0	0	0	0	0	0.096974252
TRBV11-1	TRBV11-1	0	0	0	0	0	0
TRBV7-1	TRBV7-1	0	0	0	0	0	0
TRBV6-1	TRBV6-1	0	0	0	0	0	0
TRBV25-1	TRBV25-1	0	0.127244063	0	0	0.151893877	0.109260253
TRBV18	TRBV18	0	0	0	0	0	0
TRBV16	TRBV16	0	0	0	0	0	0
TRGV9	TRGV9	0	0	0.037593216	0.030722111	0	0
TRGV3	TRGV3	0	0	0.206238112	0	0.172972599	0.762920252
TRBV5-7	TRBV5-7	0	0	0	0	0	0
TRBV7-7	TRBV7-7	0	0	0	0	0	0.3535943
TRBV6-8	TRBV6-8	0	0	0	0	0	0
TRBV6-6	TRBV6-6	0	0	0	0	0	0
TRGV2	TRGV2	0	0	0	0.147111287	0	0
TRBV10-1	TRBV10-1	0	0	0	0	0	0
TRBV9	TRBV9	0	0	0	0	0	0
TRBV5-4	TRBV5-4	0	0	0	0	0	0
TRBV12-3	TRBV12-3	0	0	0	0	0	0
AC233282.1	AC233282.1	0	0	0.30217163	0	0.336829509	0
TRGV1	TRGV1	0	0	0	0	0	0
TRGV5	TRGV5	0	0	0.788796779	0	0.166426234	0.689813518
TRBV5-5	TRBV5-5	0	0	0	0	0	0
TRBV6-2	TRBV6-2	0	0	0	0	0	0
AC234635.3	AC234635.3	0	0	0	0	0	0
AC234635.1	AC234635.1	0	0	0	0	0	0
TRBV7-2	TRBV7-2	0	0	0	0	0	0
TRBV6-4	TRBV6-4	0	0	0	0	0	0
TRBV7-3	TRBV7-3	0.501611367	1.021344691	0.452357162	0.682023081	0.270971401	0.371267785
TRBV10-2	TRBV10-2	0	0	0	0	0	0
AC229888.1	AC229888.1	0	0	0	0	0	0
TRBV11-3	TRBV11-3	0	0	0	0	0	0
TRBV10-3	TRBV10-3	0	0	0	0	0	0
TRBV7-9	TRBV7-9	0	0	0	0	0	0
TRBV5-3	TRBV5-3	0	0.152017232	0	0	0	0
TRGV8	TRGV8	0.211879419	0	0.357327912	0	0	0.153617287
TRGV10	TRGV10	0	0	0	0	0	0
AC233282.2	AC233282.2	0	0	0.559065917	0.257067359	0	0
TRBV20OR9-2	TRBV20OR9-2	0.253315246	0	0	0	0.65350583	0.183705006
TRBV7-4	TRBV7-4	0	0	0	0	0	0
TRBV4-1	TRBV4-1	0	0	0	0	0	0
TRBV3-1	TRBV3-1	0	0	0	0	0	0
TRBV2	TRBV2	0	0	0	0	0.129069581	0
KIR2DS4	KIR2DS4	0	0	0	0	0	0
OR10J4	OR10J4	0	0	0	0	0	0
OR10J3	OR10J3	0	0	0	0	0	0
OR4C45	OR4C45	0	0	0	0	0	0
OR4Q2	OR4Q2	0.0250451	0	0	0.018475369	0	0
VN1R5	VN1R5	0	0	0.207724215	0	0	0
CYP2D6	CYP2D6	0	0	0	0	0	0
CYP2D7	CYP2D7	0.941016891	1.213028065	0.278036386	0.924027654	0	0.18991613
KIR2DS4	KIR2DS4	0	0	0	0	0	0
OR2T7	OR2T7	0	0	0.036274876	0.0586422	0	0.043594522
OR5H8	OR5H8	0	0	0	0	0	0
OR5AC1	OR5AC1	0	0	0	0	0	0
CD300H	CD300H	0.14678945	0	0.564064961	0	1.37964314	0.653623223
KIR2DS4	KIR2DS4	0	0	0	0	0	0
OR9H1P	OR9H1P	0.073483817	0.057331039	0.220872257	0.186842808	0.131192639	0.084520139
AC064853.2	AC064853.2	0	0	0	0	0	0
KIR2DS4	KIR2DS4	0	0	0	0	0	0
SCYGR10	SCYGR10	0	0	0	0	0	0
OR12D1	OR12D1	0	0	0	0	0	0
IFNL4	IFNL4	0	0	0	0	0	0
PTCHD3	PTCHD3	0.027864747	0.019999175	0.035271877	0.055510541	0.019090125	0.015004645
MUC6	MUC6	0.078437685	0.068927206	0.007282233	0.138888371	0	0.062800365
NAT8B	NAT8B	0	0	0	0	0	0
GKN3P	GKN3P	0	0	0	0	0	0
FCGR2C	FCGR2C	0	0.190009844	0.15980483	0.167426785	0	0
KIR2DS4	KIR2DS4	0	0	0	0	0	0
AKR7L	AKR7L	1.115130485	1.208663957	1.167442213	1.029415426	0.38212493	0.914713377
OR13C7	OR13C7	0	0	0	0	0	0
GSTT2	GSTT2	1.08227067	1.197152043	0.872728703	0.57054065	1.117698367	1.243321769
KIR2DS4	KIR2DS4	0	0	0	0	0	0
KIR2DS4	KIR2DS4	0	0	0	0	0	0
OR4K3	OR4K3	0	0	0	0	0	0
OR10A6	OR10A6	0	0	0	0	0	0
OR4A8	OR4A8	0	0	0	0	0	0
PNLIPRP2	PNLIPRP2	0	0.0436974	0.12730905	0	0.146526195	0.038210418
TRARG1	TRARG1	0	0	0	0.037297872	0	0
UBE2NL	UBE2NL	0	0	0	0	0	0
KIR2DS4	KIR2DS4	0	0	0	0	0	0
OR8K3	OR8K3	0	0	0	0	0	0
SERPINA2	SERPINA2	0	0	0.076568125	0	0.084839573	0.061749382
OR52E1	OR52E1	0	0	0	0	0	0
OR11H7	OR11H7	0	0.069463508	0	0	0.083329392	0
OR10AC1	OR10AC1	0	0	0.021651988	0.008859641	0	0.026045766
MUC6	MUC6	0	0	0.028847481	0.111648734	0.010345533	0.021639367
OR5G3	OR5G3	0	0	0	0	0	0
OR5AL1	OR5AL1	0	0	0	0	0	0
OR8J2	OR8J2	0	0	0	0	0	0
OR5G3	OR5G3	0	0	0	0	0	0
POTEA	POTEA	0	0	0	0	0	0
GBA3	GBA3	0	0	0	0	0	0
CASP12	CASP12	0	0	0	0	0	0.047254847
CYP2D7	CYP2D7	0.138409514	0.132854761	0	0.041493925	0.345421357	0.314222722
OR1P1	OR1P1	0	0	0	0	0	0
KIR2DS4	KIR2DS4	0	0	0	0	0	0
GPX1	GPX1	7.986499793	7.954274726	7.987100101	7.902385462	8.638292217	8.176436955
CYP2D7	CYP2D7	0	0.086659189	0.541781448	0.276201248	0.371523178	0.798615119
MROH5	MROH5	0	0	0	0	0.055993845	0
OR8J2	OR8J2	0	0	0	0	0	0
KIR2DS4	KIR2DS4	0	0	0	0	0	0
PKD1L2	PKD1L2	0.702666053	0.704762917	0.961531364	0.520221648	0.859263528	1.185206115
MROH5	MROH5	0	0	0	0	0	0
OR10AC1	OR10AC1	0	0	0.021651988	0.008859641	0	0.026045766
CYP2D7	CYP2D7	0.325994222	0.311874262	0.541781448	0.716697718	0.494800619	0.101005762
KIR2DS4	KIR2DS4	0	0	0	0	0	0
KIR2DS4	KIR2DS4	0	0	0	0	0	0
KIR2DS4	KIR2DS4	0	0	0	0	0	0
KIR2DS4	KIR2DS4	0	0	0	0	0	0
KIR2DS4	KIR2DS4	0	0	0	0	0	0
KIR2DS4	KIR2DS4	0	0	0	0	0	0
TRBC1	TRBC1	0	0	0	0	0	0
TRAC	TRAC	0	0.130680781	0	0	0.156118277	0
TRDC	TRDC	0	0	0	0	0	0
TRBC2	TRBC2	0.109953163	0	0	0	0	0
TRBC1	TRBC1	0	0	0	0	0	0
TRBC2	TRBC2	0.000140617	0	0	0	0	0
TRGC1	TRGC1	0	0.021190449	0	0	0	0
TRGC2	TRGC2	0	0	0	0	0	0
IGHJ1	IGHJ1	0	0	0	0	0	0
IGLJ4	IGLJ4	0	0	0	0	0	0
IGKJ4	IGKJ4	0	0	0	0	0	0
IGHJ3	IGHJ3	0	0	0	0	0	0
IGHJ5	IGHJ5	0	0	0	0	0	0
IGHJ4	IGHJ4	0	0	0	0	0	0
IGHJ3	IGHJ3	0	0	0	0	0	0
IGHJ6	IGHJ6	0	0	0	0	0	0
IGKJ5	IGKJ5	0	0	0	0	0	0
IGLJ6	IGLJ6	0	0	0	0	0	0
IGHJ2	IGHJ2	0	0	0	0	0	0
IGKJ1	IGKJ1	0	0	0	0	0	0
IGKJ2	IGKJ2	0	0	0	0	0	0
IGHJ1	IGHJ1	0	0	0	0	0	0
IGKJ3	IGKJ3	0	0	0	0	0	0
IGLJ1	IGLJ1	0	0	0	0	0	0
IGLJ2	IGLJ2	0	0	0	0	0	0
IGLJ3	IGLJ3	0	0	0	0	0	0
IGHJ5	IGHJ5	0	0	0	0	0	0
IGHJ4	IGHJ4	0	0	0	0	0	0
IGLJ5	IGLJ5	0	0	0	0	0	0
IGLJ7	IGLJ7	0	0	0	0	0	0
IGHJ6	IGHJ6	0	0	0	0	0	0
IGHJ2	IGHJ2	0	0	0	0	0	0
IGHG2	IGHG2	0	0.072582959	0	0	0	0.003054556
IGHG4	IGHG4	0.227996697	0.259555725	0.128707011	0.240415696	0.109932843	0.025046234
IGHE	IGHE	0	0.043522713	0.093014093	0	0	0.093326378
IGHG1	IGHG1	0	0.082353385	0.03600656	0.009868885	0.100249996	0.009727885
IGHG2	IGHG2	0	0.027397972	0	0	0	0.046961894
IGHM	IGHM	0.049467671	0	0.113393794	0	0.024916352	0.088282874
IGHA1	IGHA1	0.068832301	0	0.310621651	0	0.422141484	0.16210947
IGHG3	IGHG3	0.025305964	0.002452631	0	0	0	0
IGHD	IGHD	0.021752605	0	0	0	0	0
IGHA2	IGHA2	0	0	0	0.026821726	0	0
IGLC7	IGLC7	0	0	0	0	0	0
IGLC2	IGLC2	0	0	0	0	0	0
IGLC1	IGLC1	0	0	0	0	0	0
IGKC	IGKC	0	0	0	0	0.17961678	0
IGLC3	IGLC3	0	0	0	0	0	0
IGHA1	IGHA1	0.068832301	0	0.310621651	0	0.070442913	0.16210947
IGHM	IGHM	0.049467671	0	0	0	0.024916352	0.088282874
IGHG3	IGHG3	0	0.046896816	0	0	0	0
IGHA2	IGHA2	0	0	0.637007355	0.026821726	0.371034658	0.115537499
IGHE	IGHE	0	0.043522713	0.093014093	0.038657977	0.491575046	0.093326378
IGHD	IGHD	0.021752605	0	0	0	0	0
IGHG1	IGHG1	0	0.082353385	0.03600656	0.009868885	0.100249996	0.009727885
IGHG4	IGHG4	0.127136141	0	0.05326846	0.094881928	0.025295332	0.025046234
IGHV3-73	IGHV3-73	0	0	0	0	0	0
IGHV4-34	IGHV4-34	0	0	0	0	0	0
IGHV3-23	IGHV3-23	0	0	0	0	0	0
IGHV5-10-1	IGHV5-10-1	0	0	0	0	0	0
IGKV2-40	IGKV2-40	0	0	0	0	0	0
IGHV3-74	IGHV3-74	0	0	0	0.315694902	0	0
IGHV2-70	IGHV2-70	0	0	0	0	0	0
IGHV1-69-2	IGHV1-69-2	0	0	0	0	0	0
IGHV4-31	IGHV4-31	0	0	0	0	0	0
IGHV3-11	IGHV3-11	0	0	0	0	0	0
IGKV1D-8	IGKV1D-8	0	0	0	0	0	0
AC234301.3	AC234301.3	0	0	0	0	0	0
IGHV3-30	IGHV3-30	0	0	0	0	0	0
IGHV6-1	IGHV6-1	0	0	0	0	0	0
IGHV4OR15-8	IGHV4OR15-8	0	0	0	0	0	0
IGKV2-30	IGKV2-30	0	0	0	0	0	0
AC135068.2	AC135068.2	0	0	0	0	0	0
IGKV6-21	IGKV6-21	0	0	0	0	0	0
IGKV1-17	IGKV1-17	0	0	0	0	0	0
IGHV3-53	IGHV3-53	0	0	0	0	0	0
IGHV1-46	IGHV1-46	0	0	0	0	0	0
IGHV4-59	IGHV4-59	0	0	0	0	0	0
IGHV3-33	IGHV3-33	0	0	0	0	0	0
IGHV3-48	IGHV3-48	0	0	0	0	0	0
IGHV4-28	IGHV4-28	0	0	0	0	0	0
IGHV1-18	IGHV1-18	0.259116984	0	0	0	0	0
IGHV3-16	IGHV3-16	0	0	0	0	0	0
IGHV7-4-1	IGHV7-4-1	0	0	0	0	0	0
IGHV4-4	IGHV4-4	0	0	0	0	0	0
IGHV6-1	IGHV6-1	0	0	0	0	0	0
IGHV3-74	IGHV3-74	0	0	0	0	0	0
IGHV7-81	IGHV7-81	0	0	0	0	0	0
IGHV1-69D	IGHV1-69D	0	0	0	0	0	0
IGHV2-70D	IGHV2-70D	0	0	0	0	0	0
IGHV2-26	IGHV2-26	0	0	0	0	0	0
IGHV3-30	IGHV3-30	0	0	0	0	0	0
IGHV4-39	IGHV4-39	0	0	0	0	0	0
IGHV3-38	IGHV3-38	0	0	0	0	0	0
IGHV1-69-2	IGHV1-69-2	0	0	0	0	0	0
IGKV3OR2-268	IGKV3OR2-268	0	0	0	0	0	0
IGHV3-21	IGHV3-21	0	0	0	0	0	0
IGLV4-3	IGLV4-3	0	0	0.23824269	0	0	0.192965501
IGLV1-44	IGLV1-44	0	0	0	0	0	0
IGLV7-43	IGLV7-43	0	0	0	0	0	0
AC009286.3	AC009286.3	0	0	0	0	0	0
IGLV1-40	IGLV1-40	0	0	0	0	0	0
IGLV5-37	IGLV5-37	0	0	0	0	0	0
IGLV1-36	IGLV1-36	0	0	0	0	0	0
IGHV3-64	IGHV3-64	0	0	0	0	0	0
IGKV3D-7	IGKV3D-7	0	0	0	0	0	0
IGKV2D-24	IGKV2D-24	0	0	0	0	0	0
IGKV1D-33	IGKV1D-33	0	0	0	0	0	0
IGKV1D-39	IGKV1D-39	0	0	0	0	0	0
IGHV3-7	IGHV3-7	0	0	0	0	0	0
IGHV1-3	IGHV1-3	0	0	0	0	0	0
IGLV8-61	IGLV8-61	0	0	0	0	0	0
IGHV4-61	IGHV4-61	0	0	0	0	0	0
IGHV1-24	IGHV1-24	0	0	0	0	0	0
IGHV3-66	IGHV3-66	0	0	0	0	0	0
IGHV5-51	IGHV5-51	0	0	0	0	0	0
IGHV3-72	IGHV3-72	0	0	0	0	0	0
IGHV1-58	IGHV1-58	0	0	0	0	0	0
IGHV3-49	IGHV3-49	0	0	0	0	0	0
IGHV3-15	IGHV3-15	0	0	0	0	0	0
IGHV2-5	IGHV2-5	0	0	0	0	0	0
AC145029.2	AC145029.2	0	0	0	0	0	0
IGHV1-45	IGHV1-45	0	0	0	0	0	0
IGHV3-64D	IGHV3-64D	0	0	0	0	0	0
IGHV1-69	IGHV1-69	0	0	0	0	0	0
IGHV3-21	IGHV3-21	0	0	0	0	0	0
IGHV3-13	IGHV3-13	0	0	0	0	0	0
IGHV1-2	IGHV1-2	0	0	0	0	0	0
IGKV1-37	IGKV1-37	0	0	0	0	0	0
IGKV1-12	IGKV1-12	0	0	0	0	0	0
IGHV3-43	IGHV3-43	0	0	0	0	0	0
IGHV3-35	IGHV3-35	0	0	0	0	0	0
IGKV3D-11	IGKV3D-11	0	0	0	0	0	0
IGKV1D-42	IGKV1D-42	0	0	0	0	0	0
IGKV1D-43	IGKV1D-43	0	0	0	0	0	0
IGKV1D-8	IGKV1D-8	0	0	0	0	0	0
IGKV3D-7	IGKV3D-7	0	0	0	0	0	0
IGHV1OR15-1	IGHV1OR15-1	0	0	0	0	0	0
IGLV2-33	IGLV2-33	0	0	0	0	0	0
IGLV3-32	IGLV3-32	0	0	0	0	0	0
IGLV1-44	IGLV1-44	0	0	0	0	0	0
IGKV1D-13	IGKV1D-13	0	0	0	0	0	0
IGKV2-24	IGKV2-24	0	0	0	0	0	0
IGKV3D-20	IGKV3D-20	0	0	0	0	0	0
IGKV1D-16	IGKV1D-16	0	0	0	0	0	0
IGKV1OR2-108	IGKV1OR2-108	0	0	0	0	0	0
IGKV3-20	IGKV3-20	0	0	0	0	0	0
IGKV3-11	IGKV3-11	0	0	0	0	0	0
IGHV1-45	IGHV1-45	0	0	0	0	0	0
IGHV2-26	IGHV2-26	0	0	0	0	0	0
IGHV3-23	IGHV3-23	0	0	0	0	0	0
IGKV1-8	IGKV1-8	0	0	0	0	0	0
IGHV3-48	IGHV3-48	0	0	0	0	0	0
IGKV1-5	IGKV1-5	0	0	0	0	0	0
IGHV1OR15-9	IGHV1OR15-9	0	0	0	0	0	0
IGHV2-70	IGHV2-70	0	0	0	0	0	0
IGHV3-16	IGHV3-16	0	0	0	0	0	0
IGHV1-3	IGHV1-3	0	0	0	0	0	0
IGLV3-27	IGLV3-27	0	0	0	0	0	0.214338706
IGLV2-33	IGLV2-33	0	0	0	0	0	0
IGLV3-32	IGLV3-32	0	0	0	0	0	0
IGLV3-25	IGLV3-25	0	0	0	0	0	0
IGKV1D-17	IGKV1D-17	0	0	0	0	0	0.24476896
IGKV2D-30	IGKV2D-30	0	0	0	0	0	0
IGKV1-6	IGKV1-6	0	0	0	0	0	0
IGHV3-64	IGHV3-64	0	0	0	0	0	0
IGHV3-33	IGHV3-33	0	0	0	0	0	0
IGHV4-28	IGHV4-28	0	0	0	0	0	0
IGHV3-20	IGHV3-20	0	0	0	0	0	0
IGKV3-7	IGKV3-7	0	0	0	0	0	0
IGKV1D-12	IGKV1D-12	0	0	0	0	0	0
IGKV2D-29	IGKV2D-29	0	0	0	0	0	0
IGKV1-27	IGKV1-27	0	0	0	0	0	0
IGKV1-9	IGKV1-9	0	0	0	0	0	0
IGHV3OR16-9	IGHV3OR16-9	0	0	0	0	0	0
IGHV5-51	IGHV5-51	0	0	0	0	0	0
